Device Name,Feature
INTENZA ENTERTAINMENT SERIES CONSOLE,"['Intenzacast (mobile mirroring)', '19-inch Capacitive Touch Display', 'Analogue and Digital TV', 'Virtual Scenery - explore beautiful scenery while you exercise', 'InCare™ 2.0 via USB', 'LED Display', 'Uni-Dial Navigation Control™', 'InZone™ Heart Rate Monitoring', 'Digital contact and Polar wireless heart rate monitoring']"
INTENZA 550T SERIES TREADMILLS,"['Intenzacast (mobile mirroring)', '19-inch Capacitive Touch Display', 'Analogue and Digital TV', 'Virtual Scenery - explore beautiful scenery from all over the world', 'InCare™ 2.0 via USB', 'Available with the Entertainment Series Console as well as the Interactive Series Console']"
INTENZA 550E SERIES ELLIPTICAL,"['16-Inch Capacitive Touch Display', 'Robust frame structure is engineered for longevity and durability', 'Intenzacast (mobile mirroring)', 'InCare™ via Internet', 'Self-powered, 3-phase, hybrid generator and belt drive system', 'Available with the Entertainment Series Console as well as the Interactive Series Console']"
INTENZA 550UB SERIES UPRIGHT BIKES,"['Robust frame structure ensures strength and durability', '154 lbs. (70 kg) total weight provides stable, comfortable workouts', 'Mimics the frame height and saddle-style of a road bike', 'Equipped with sturdy wheels allowing safe and easy relocation within the facility', 'Available with the Entertainment Series Console as well as the Interactive Series Console']"
INTENZA 550RB SERIES RECUMBENT BIKES,"['Bottom bracket assembly with precision sealed ball bearings sustain, already exceptionally smooth, performance', 'Ergonomic seat back designed with ventilation, lumbar support, and saddle provides long-lasting comfort and positioning for even the most rigorous workouts', 'Accommodates users weighing up to 181kg (400lbs)', 'Incremental seat adjustment accommodates exercisers from heights of 4’9” (147cm) to 6’5” (193cm)', 'Available with the Entertainment Series Console as well as the Interactive Series Console']"
INTENZA 550C ESCALATE STEP CLIMBER,"['Intenza’s Smart StepHeight technology means users can choose between 20 unique step-height options', 'Produced with our planet and our employees in mind, the Escalate 550 Series Climber meets ErP standards and gives peace of mind to end users and facilities alike', 'Provides proactive machine diagnostics via Wi-Fi connection, allowing real-time updates and alerts', 'Available with the Entertainment Series Console as well as the Interactive Series Console']"
IMPULSE RT500 TREADMILL,"['Impact absorption system provides the superior feel for all users, reversible deck for longer lifetime', 'Operation noise as low as 73 db', '12 Workout options', '22” wide running area', 'Max Speed 20km/h (12mph)', 'Incline Range of 0-15%']"
IMPULSE RT700 TREADMILL,"['Wide 22” reversible running deck', 'Pulflex™ commercial cushioning system', 'Quick controls, fan and contact heart-rate on ergonomic handle bars', 'Max Speed 25kph (15mph)', 'Incline Range of 0-15%', '12 Pre-programmed workouts', 'On your finger-tips incline & speed control']"
IMPULSE RT950 TREADMILL,"['18.5” Touch Screen Display', '1-25km/h speed range', '0-15% Incline Range', 'Quick buttons (incline and speed)', 'Handlebar controls', 'Feedback: heart rate, time in zone, average speed, pace, time elapsed, % time remaining, calories, calories/hour, distance, speed, incline, 1/4 mile or 400m track', 'Wifi enabled', 'TV/Music connectivity', 'Programs: cardio, random, fat burn, interval, HR, 5km, fireman test', 'Accessory/phone holder', 'USB Charger', 'Fan (3 speed)', 'Virtual Scenery']"
IMPULSE RE500 ELLIPTICAL CROSS TRAINER,"['Eleven workout modes', 'LED display with workout read-outs and heart rate', 'Two step powder-coating with rust-resistant undercoat', 'Self powered hybrid brake', 'Twenty levels of resistance']"
IMPULSE RE700 ELLIPTICAL CROSS TRAINER,"['Eleven workout modes', 'Seven windows dot matrix LED display', 'Twenty levels of resistance', 'Personal cooling fan', 'Oversized pedals and narrow spacing make for a comfortable workout', '21” stride length', '160kg maximum user capacity', 'Button display or touch buttons on stationary handlebars']"
IMPULSE RE930 ELLIPTICAL,"['11.6” Touch Screen Display', 'Self Powered Hybrid Brake', 'Resistance Brake Power of 350W', '20 Resistance Levels', 'Pedals with cushioned gel pads', 'Feedback: speed, time, calorie, RPM, distance, heart rate, resistance', 'Accessories: cup holder, magazine holder, phone holder', 'Wifi/Internet connectivity, music and TV compatible', 'Virtual Scenery']"
IMPULSE RR500 RECUMBENT BIKE,"['Three riding positions for handlebars with contact heart rate grips on-your-finger-tips control', 'Two-step powder-coating with rust-resistant undercoat', 'Wheels on front for ease of movement of equipment', 'Self powered hybrid brake', 'Clear LCD screen']"
IMPULSE RR700 RECUMBENT BIKE,"['Three riding positions for handlebars with contact heart rate grips on-your-finger-tips control', 'Two-step powder-coating with rust-resistant undercoat', 'Wheels on front for ease of movement of equipment', 'Self powered hybrid brake', 'Clear LCD screen', 'Console quick keys for resistance', 'Oversized pedals for comfort and ease of use']"
IMPULSE RR930 RECUMBENT BIKE,"['11.6” Touch Screen Display', 'Self Powered Hybrid Brake', 'Resistance Brake Power of 350W', '20 Resistance Levels', 'Pedals with cushioned gel pads', 'Feedback: speed, time, calorie, RPM, distance, heart rate, resistance', 'Accessories: cup holder, magazine holder, phone holder', 'Wifi/Internet connectivity, music and TV compatible', 'Virtual Scenery']"
IMPULSE RU500 UPRIGHT BIKE,"['Single sided weighted pedals', 'Three comfortable handles positions', 'Ergonomic seat design', '160kg maximum user capacity', '12 Console workout options']"
IMPULSE RU700 UPRIGHT BIKE,"['Extra wide, dual-sided pedals with adjustable straps', 'Ergonomic handles with quick controls to adjust the resistance', 'Wheels on front for ease of movement', 'Polar contact for heart rate and telemetry', 'Contact heart rate monitoring on handlebars', 'Console quick keys for resistance']"
IMPULSE RU930 UPRIGHT BIKE,"['11.6” Touch Screen Display', '11 workout programs', 'Feedback: distance, time, speed, watt, calories, RPM, heart rate', '8kg Flywheel', 'Oversized, single sided, weighted pedals', 'Heart rate connectivity through contact and telemetry', 'Incorporated accessory storage', 'Wifi/Internet connectivity, music and TV compatible', 'Virtual Scenery']"
